task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,glm-4.7-flash,mas,1,local,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,7896.15,8,7874495.0,984311.9,False,-1,1,True,2,False,0.0667,0.0,0.1667,0.13,0.0819,0.0,0.2048,-0.0152,2162,3,1,4,0
instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,glm-4.7-flash,mas,1,local,easy,ansible/ansible,python,COMPLETED,1,True,True,521.43,4,520285.1,130071.3,True,0,0,False,2,True,0.2816,0.3333,0.2041,0.3431,0.2816,0.3333,0.2041,0.0,1906,3,2,4,0
instance_flipt-io__flipt-2eac0df47b5ecc8bb05002d80383ceb08ab3620a,glm-4.7-flash,mas,1,local,easy,flipt-io/flipt,go,COMPLETED,1,True,True,2687.32,4,2686210.3,671552.6,True,0,0,False,2,True,0.0449,0.0,0.1121,0.1067,0.0449,0.0,0.1121,0.0,3629,8,1,4,0
instance_gravitational__teleport-1a77b7945a022ab86858029d30ac7ad0d5239d00-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,glm-4.7-flash,mas,1,local,easy,gravitational/teleport,go,COMPLETED,1,True,True,302.63,4,301471.4,75367.9,True,0,0,False,2,True,0.6594,1.0,0.1485,0.0492,0.6594,1.0,0.1485,0.0,2399,2,0,4,0
instance_internetarchive__openlibrary-03095f2680f7516fca35a58e665bf2a41f006273-v8717e18970bcdc4e0d2cea3b1527752b21e74866,glm-4.7-flash,mas,1,local,easy,internetarchive/openlibrary,python,COMPLETED,1,True,True,531.06,4,529955.3,132488.8,True,0,0,False,2,True,0.6426,1.0,0.1066,0.0022,0.6426,1.0,0.1066,0.0,2469,2,0,4,0
instance_NodeBB__NodeBB-8ca65b0c78c67c1653487c02d1135e1b702185e1-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,glm-4.7-flash,mas,1,local,medium,NodeBB/NodeBB,js,COMPLETED,1,True,True,7632.63,4,7631518.3,1907879.6,True,0,0,False,2,True,0.0436,0.0,0.1091,0.1536,0.0436,0.0,0.1091,0.0,7783,9,2,4,0
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,glm-4.7-flash,mas,1,local,medium,ansible/ansible,python,COMPLETED,1,True,True,6833.59,6,6831916.9,1138652.8,False,-1,1,True,2,False,0.1634,0.2,0.1084,0.0,0.1619,0.2,0.1047,0.0015,10344,18,4,4,0
instance_flipt-io__flipt-af7a0be46d15f0b63f16a868d13f3b48a838e7ce,glm-4.7-flash,mas,1,local,medium,flipt-io/flipt,go,COMPLETED,1,True,True,4030.3,6,4028668.1,671444.7,False,-1,1,True,2,False,0.1938,0.1818,0.2119,0.1533,0.1942,0.1818,0.2127,-0.0004,11089,19,10,4,0
instance_gravitational__teleport-1330415d33a27594c948a36d9d7701f496229e9f,glm-4.7-flash,mas,1,local,medium,gravitational/teleport,go,FAILED,0,False,True,5277.75,6,5276048.4,879341.4,True,1,1,True,2,True,0.0,0.0,0.0,0.0,0.6956,1.0,0.239,-0.6956,8581,6,0,0,0
instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,glm-4.7-flash,mas,1,local,medium,internetarchive/openlibrary,python,COMPLETED,1,True,True,1528.12,4,1527020.2,381755.0,True,0,0,False,2,True,0.6677,1.0,0.1694,0.2198,0.6677,1.0,0.1694,0.0,6440,10,3,4,0
instance_NodeBB__NodeBB-b398321a5eb913666f903a794219833926881a8f-vd59a5728dfc977f44533186ace531248c2917516,glm-4.7-flash,mas,1,local,hard,NodeBB/NodeBB,js,FAILED,0,True,True,4944.47,6,4942686.9,823781.2,True,1,1,True,2,True,0.0071,0.0,0.0179,0.0,0.0071,0.0,0.0179,0.0,11561,23,10,4,1
instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,glm-4.7-flash,mas,1,local,hard,ansible/ansible,python,COMPLETED,1,True,True,9249.0,7,9237116.8,1319588.1,False,-1,1,True,2,False,0.3656,0.6,0.014,0.0,0.3812,0.6,0.053,-0.0156,13741,19,4,4,0
