task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed,docker_resolved,docker_status
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,mas,1,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,33.22,8,31164.8,3895.6,False,-1,2,True,2,False,0.402,0.5,0.2549,0.2254,0.402,0.5,0.2549,0.0,none,ok,['src/controllers/well-known.js'],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-3.1-flash-lite,mas,1,cloud,medium,ansible/ansible,python,COMPLETED,1,True,True,31.63,5,30158.3,6031.7,False,-1,1,False,2,False,0.1523,0.2,0.0806,0.0,0.1523,0.2,0.0806,0.0,none,ok,['lib/ansible/galaxy/collection/__init__.py'],1,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-3.1-flash-lite,mas,1,cloud,hard,flipt-io/flipt,go,COMPLETED,1,True,True,20.35,5,18933.4,3786.7,False,-1,1,False,2,False,0.1754,0.2,0.1385,0.0,0.1754,0.2,0.1385,0.0,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,single,1,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,17.29,3,16697.5,5565.8,False,-1,1,False,2,False,0.5036,0.5,0.5091,0.3713,0.5036,0.5,0.5091,0.0,none,ok,['src/controllers/well-known.js'],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-3.1-flash-lite,single,1,cloud,medium,ansible/ansible,python,COMPLETED,1,True,True,22.04,5,21194.0,4238.8,False,-1,2,True,2,False,0.1591,0.2,0.0977,0.0122,0.1613,0.2,0.1032,-0.0022,none,ok,['lib/ansible/galaxy/collection/__init__.py'],2,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-3.1-flash-lite,single,1,cloud,hard,flipt-io/flipt,go,COMPLETED,1,True,True,50.34,6,49433.1,8238.9,False,-1,3,True,2,False,0.4222,0.6,0.1554,0.0,0.1751,0.2,0.1378,0.2471,none,ok,"['internal/config/authentication.go', 'rpc/flipt/auth/auth.pb.go', 'rpc/flipt/auth/auth.proto']",3,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,mas,2,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,24.93,5,23461.0,4692.2,False,-1,1,False,2,False,0.449,0.5,0.3725,0.2673,0.449,0.5,0.3725,0.0,none,ok,['src/controllers/well-known.js'],1,2162,3,1,4,0,False,failed
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-3.1-flash-lite,mas,2,cloud,medium,ansible/ansible,python,COMPLETED,1,True,True,27.15,5,25764.3,5152.9,False,-1,1,False,2,False,0.1478,0.2,0.0694,0.0094,0.1478,0.2,0.0694,0.0,none,ok,['lib/ansible/galaxy/collection/__init__.py'],2,10344,18,4,4,0,False,failed
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-3.1-flash-lite,mas,2,cloud,hard,flipt-io/flipt,go,COMPLETED,1,True,True,22.16,5,20748.9,4149.8,False,-1,1,False,2,False,0.1754,0.2,0.1385,0.0,0.1754,0.2,0.1385,0.0,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,single,2,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,41.0,4,40132.1,10033.0,False,-1,2,True,2,False,0.4724,0.5,0.431,0.4034,0.4667,0.5,0.4167,0.0057,none,ok,['src/controllers/well-known.js'],1,2162,3,1,4,0,False,failed
