task_id,model_name,mode,run_number,backend,difficulty,repo,language,overall_status,resolved,syntax_valid,code_extracted,duration_seconds,llm_calls,total_latency_ms,avg_latency_ms,tester_approved,tester_pass_iteration,debug_iterations,patch_changed_by_debug,max_debug_iterations,reviewer_approved,patch_score,file_recall,content_overlap,codebleu,initial_patch_score,initial_file_recall,initial_content_overlap,debug_improvement,pattern_matched,failure_mode,files_correct,gen_files_count,gold_patch_size,gold_hunks,gold_files_changed,tests_run,tests_failed,docker_resolved,docker_status,agent_model_breakdown
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,mas,1,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,136.33,5,134382.5,26876.5,False,-1,1,False,2,False,0.7723,1.0,0.4308,0.3138,0.7723,1.0,0.4308,0.0,none,ok,"['src/controllers/activitypub/actors.js', 'src/controllers/well-known.js']",2,2162,3,1,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-3.1-flash-lite,mas,1,cloud,medium,ansible/ansible,python,COMPLETED,1,True,True,129.26,5,127252.5,25450.5,False,-1,1,False,2,False,0.1856,0.2,0.1639,0.0071,0.1856,0.2,0.1639,0.0,none,ok,['lib/ansible/galaxy/collection/__init__.py'],1,10344,18,4,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-3.1-flash-lite,mas,1,cloud,hard,flipt-io/flipt,go,COMPLETED,1,True,True,228.63,12,224318.9,18693.2,False,-1,3,True,2,False,0.164,0.2,0.11,0.0,0.1686,0.2,0.1216,-0.0046,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,single,1,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,13.85,4,12844.4,3211.1,False,-1,2,True,2,False,0.5036,0.5,0.5091,0.3713,0.5036,0.5,0.5091,0.0,none,ok,['src/controllers/well-known.js'],1,2162,3,1,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-3.1-flash-lite,single,1,cloud,medium,ansible/ansible,python,COMPLETED,1,True,True,30.18,6,28628.7,4771.4,False,-1,3,True,2,False,0.1637,0.2,0.1092,0.0122,0.1629,0.2,0.1071,0.0008,none,ok,['lib/ansible/galaxy/collection/__init__.py'],2,10344,18,4,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-3.1-flash-lite,single,1,cloud,hard,flipt-io/flipt,go,COMPLETED,1,True,True,27.17,7,24970.6,3567.2,False,-1,3,True,2,False,0.188,0.2,0.1699,0.0,0.1696,0.2,0.1239,0.0184,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,mas,2,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,72.29,5,70010.0,14002.0,False,-1,1,False,2,False,0.7733,1.0,0.4333,0.6122,0.7733,1.0,0.4333,0.0,none,ok,"['src/controllers/activitypub/actors.js', 'src/controllers/well-known.js']",2,2162,3,1,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,gemini-3.1-flash-lite,mas,2,cloud,medium,ansible/ansible,python,COMPLETED,1,True,True,96.2,5,93844.8,18769.0,False,-1,1,False,2,False,0.1675,0.2,0.1187,0.1566,0.1675,0.2,0.1187,0.0,none,ok,['lib/ansible/galaxy/collection/__init__.py'],2,10344,18,4,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,gemini-3.1-flash-lite,mas,2,cloud,hard,flipt-io/flipt,go,COMPLETED,1,True,True,79.13,5,76842.5,15368.5,False,-1,1,False,2,False,0.1856,0.2,0.1641,0.0,0.1856,0.2,0.1641,0.0,none,ok,['internal/config/authentication.go'],1,35893,14,4,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
instance_NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,gemini-3.1-flash-lite,single,2,cloud,easy,NodeBB/NodeBB,js,COMPLETED,1,True,True,15.99,4,14994.0,3748.5,False,-1,2,True,2,False,0.4895,0.5,0.4737,0.347,0.4895,0.5,0.4737,0.0,none,ok,['src/controllers/well-known.js'],1,2162,3,1,4,0,False,failed,"{'planner': 'claude-opus-4-5', 'developer': 'qwen3-coder-next', 'debugger': 'gemini-3.1-flash-lite', 'dev_refine': 'qwen3-coder-next', 'tester': 'gemini-2.5-flash-tester', 'reviewer': 'claude-opus-4-5'}"
